step,train_loss,test_loss,test_acc
0,16495.61328125,12491.3962890625,6.33
200,9.197057723999023,2305.7149169921877,10.7
400,0.3726142644882202,2283.7919677734376,10.69
600,0.05420049652457237,2279.4571533203125,10.68
800,0.014393620193004608,2276.27451171875,10.7
1000,0.004899711813777685,2273.3644287109373,10.71
1200,0.0016825406346470118,2270.5298828125,10.75
1400,0.0005295333685353398,2267.7301513671873,10.76
1600,0.0001478453486924991,2264.9439208984377,10.76
1800,3.5568260500440374e-05,2262.1731201171874,10.76
2000,7.276632913999492e-06,2259.41328125,10.76
2200,1.2885833484688192e-06,2256.6609375,10.76
2400,2.1238882652596658e-07,2253.9147216796873,10.76
2600,3.668823111979691e-08,2251.1726318359374,10.76
2800,8.060672129772684e-09,2248.4339111328127,10.76
3000,2.6714139789163482e-09,2245.698583984375,10.76
3200,1.382966519081208e-09,2242.9664794921873,10.76
3400,1.0606612255159575e-09,2240.2373779296877,10.76
3600,8.858335731609657e-10,2237.5119140625,10.76
3800,1.0008729400823313e-09,2234.7896240234377,10.76
4000,8.222907355026621e-10,2232.0705810546874,10.76
4200,9.478237084081798e-10,2229.3550048828124,10.76
4400,8.554349733458366e-06,2099.228515625,10.66
4600,4.425321442624863e-09,2096.677355957031,10.66
4800,7.697739667911208e-10,2094.127099609375,10.66
5000,6.623778747716358e-10,2091.579724121094,10.66
5200,1.135706750865495e-09,2089.035400390625,10.66
5400,8.218065117304718e-10,2086.494287109375,10.66
5600,7.495786213951305e-10,2083.95595703125,10.66
5800,0.0670071616768837,1771.5144775390625,10.7
6000,2.812421087128314e-07,1768.8480102539063,10.64
6200,2.7013742354142778e-09,1766.697265625,10.64
6400,7.361971587904748e-10,1764.5500610351562,10.64
6600,5.662786906057704e-10,1762.4057739257812,10.64
6800,5.361029398187611e-10,1760.2639892578125,10.64
7000,6.381870032434733e-10,1758.1248779296875,10.64
7200,5.839349004332917e-10,1755.9881591796875,10.64
7400,9.713997384253048e-10,1753.8540893554687,10.64
7600,1.973956823348999,1636.2387084960938,10.8
7800,2.8546556229969156e-09,1589.9393432617187,10.76
8000,5.262145719164835e-10,1588.0063354492188,10.76
8200,5.562857952057243e-10,1586.0756713867188,10.76
8400,5.474122266591053e-10,1584.1473266601563,10.76
8600,6.519405570948322e-10,1582.2212524414062,10.76
8800,6.807511221396112e-10,1580.2970825195312,10.76
9000,7.286253267402287e-10,1578.3752075195312,10.76
9200,2.1288853531586938e-05,1413.0105590820312,10.85
9400,4.249821328183856e-10,1411.2883056640626,10.85
9600,4.5116343994067165e-10,1409.5734497070312,10.85
9800,4.704565625957002e-10,1407.8605346679688,10.85
10000,4.554511490173496e-10,1406.1495849609375,10.85
10200,5.232015376499533e-10,1404.4407348632812,10.85
10400,5.481980980270862e-10,1402.7339599609375,10.85
10600,7.417127467768125e-10,1401.029296875,10.85
10800,8.272099671913224e-10,1399.3264892578125,10.85
11000,7.414178980980068e-05,1207.64677734375,10.97
11200,4.164242284332431e-10,1206.118505859375,10.98
11400,3.777885226874389e-10,1204.6524169921875,10.98
11600,4.3238529423561545e-10,1203.188330078125,10.98
11800,4.1073069945163354e-10,1201.725830078125,10.98
12000,4.3900907908955844e-10,1200.2651977539062,10.98
12200,5.812732517540553e-10,1198.8062744140625,10.98
12400,2.861161708831787,1151.8200317382812,11.03
12600,1.088061285514641e-08,1080.7802734375,11.11
12800,3.72162967110512e-10,1079.4660888671874,11.11
13000,3.85855930540302e-10,1078.1535766601562,11.11
13200,3.9825404085647165e-10,1076.8426513671875,11.11
13400,4.728928360009377e-10,1075.5332397460938,11.11
13600,5.354089949172192e-10,1074.2253051757812,11.11
13800,5.991500377655029,1014.3515319824219,11.36
14000,2.7824196280334945e-09,982.9503662109375,11.26
14200,3.1831631774892344e-10,981.75498046875,11.26
14400,3.8079456254891397e-10,980.5609252929687,11.26
14600,3.9833891740670424e-10,979.3683227539062,11.26
14800,5.086799315101587e-10,978.1771606445312,11.26
15000,22.701494216918945,972.755419921875,11.29
15200,1.2118020364937365e-08,912.8826293945312,11.17
15400,4.208975112884872e-10,911.7723449707031,11.17
15600,3.8889461095870104e-10,910.66337890625,11.17
15800,5.014033632733117e-10,909.5558227539062,11.17
16000,5.831954363877401e-10,908.4494384765625,11.17
16200,7.555524539348824e-10,907.3445556640625,11.17
16400,1.6221210330513713e-07,834.1204833984375,10.77
16600,3.1059410598999193e-10,833.1055053710937,10.77
16800,3.867408893132307e-10,832.0921447753906,10.77
17000,5.054165974627267e-10,831.0800354003907,10.77
17200,6.362980142782249e-10,830.0689819335937,10.77
17400,0.032922402024269104,779.3651977539063,10.93
17600,4.037700729320193e-10,777.9954284667969,10.91
17800,4.0267414402883617e-10,777.048876953125,10.91
18000,3.857953956298843e-10,776.1033935546875,10.91
18200,7.426594339499104e-10,775.159033203125,10.91
18400,7.410556612796881e-10,774.2157531738281,10.91
18600,5.3313332415427794e-08,717.9629699707032,10.86
18800,3.1615418616404156e-10,717.0897644042968,10.86
19000,3.9757686032260153e-10,716.2176696777344,10.86
19200,6.395928231484049e-10,715.3465881347656,10.86
19400,5.482855836014267e-10,714.47666015625,10.86
19600,0.0008359630592167377,668.4758972167969,10.69
19800,3.2636299218680165e-10,667.5909423828125,10.7
20000,4.6440484791077097e-10,666.7791809082031,10.7
20200,4.290026389686119e-10,665.9685241699219,10.7
20400,4.783079488035469e-10,665.1586975097656,10.7
20600,6.674405028661567e-08,633.9325988769531,10.71
20800,3.874106313528358e-10,633.1615600585938,10.71
21000,6.037325639418611e-10,632.3910583496094,10.71
21200,1.274096828041138e-09,631.6214599609375,10.71
21400,2.4695525624451875e-08,602.113623046875,10.97
21600,4.3319142717379577e-10,601.3811096191406,10.97
21800,5.103309441700787e-10,600.6494750976562,10.97
22000,0.001273487345315516,599.9147155761718,10.96
22200,8.443515220335485e-09,568.4766296386719,10.8
22400,3.089477562667753e-10,567.7850708007812,10.8
22600,4.275524656538465e-10,567.094384765625,10.8
22800,7.061313200829034e-10,566.4044494628906,10.8
23000,0.07365797460079193,535.7784912109375,10.71
23200,6.213309866609507e-10,532.9932922363281,10.8
23400,3.123699354734555e-10,532.3453125,10.8
23600,4.90432638944327e-10,531.6982360839844,10.8
23800,7.987359662564586e-10,531.0519226074218,10.8
24000,3.62635894646246e-08,510.08754272460936,10.87
24200,7.118545752859973e-10,509.46764221191404,10.87
24400,5.824670190612835e-10,508.84837646484374,10.87
24600,6.807148747611791e-05,489.45778198242186,10.95
24800,5.064054731107603e-10,488.86524963378906,10.95
25000,4.3236630942189436e-10,488.27105712890625,10.95
25200,0.0016216743970289826,472.06280517578125,10.93
25400,5.061128183214691e-10,471.4501037597656,10.95
25600,7.009743896446707e-10,470.8768249511719,10.95
25800,3.431926961638965e-05,457.2574157714844,10.94
26000,4.5980697027658834e-10,456.7017822265625,10.94
26200,6.537956287466784e-10,456.14659423828124,10.94
26400,0.00013133868924342096,439.2949645996094,10.98
26600,5.892890619918489e-10,438.7635864257812,10.97
26800,5.346901810199256e-10,438.23032836914064,10.97
27000,0.00015983436605893075,422.6844024658203,10.81
27200,4.245876705777363e-10,422.15557861328125,10.81
27400,5.302806527218706e-10,421.6427062988281,10.81
27600,0.01276044175028801,408.0968872070313,10.98
27800,6.04640115753341e-10,407.28880004882814,10.92
28000,5.920445800278173e-10,406.7935028076172,10.92
28200,0.08739026635885239,392.99371337890625,10.82
28400,7.062515572364703e-10,390.40846557617186,10.88
28600,7.814341951295489e-10,389.9338134765625,10.88
28800,0.10037286579608917,381.5521728515625,10.91
29000,7.651368427730176e-10,377.6481048583984,10.84
29200,9.230812225702323e-10,377.189013671875,10.84
29400,0.0014395633479580283,364.9029205322266,11.06
29600,4.825602695213149e-10,364.4214752197266,11.09
29800,5.542231118482732e-10,363.9783142089844,11.09
30000,9.623911267908625e-08,354.2145629882813,11.09
30200,7.927022926956795e-10,353.78370056152346,11.09
30400,0.6215470433235168,351.7869537353516,11.31
30600,1.2629867152114116e-09,342.0930999755859,11.17
30800,7.481841257650501e-10,341.6769500732422,11.17
31000,0.051684461534023285,333.3939514160156,11.03
31200,8.945207352617501e-10,332.0778533935547,11.01
31400,6.782543415795317e-10,331.67381591796874,11.01
31600,4.0730583350523375e-06,322.11748657226565,10.94
31800,5.163902083715755e-10,321.72447814941404,10.94
32000,0.00012582588533405215,312.9728973388672,10.84
32200,5.201026276324683e-10,312.5761444091797,10.84
32400,0.14099371433258057,308.4410827636719,10.92
32600,6.382761541523507e-10,306.350244140625,10.9
32800,3.5196880965315813e-09,305.9773254394531,10.9
33000,3.1099771646836416e-09,299.2237518310547,10.85
33200,0.0382549911737442,294.9137664794922,10.86
33400,8.578152632665592e-10,293.8095306396484,10.87
33600,0.0009823053842410445,288.86023864746096,10.91
33800,7.790199041401991e-10,288.4364837646484,10.91
34000,9.0062188974116e-05,282.2783660888672,10.99
34200,4.5491307942846504e-10,281.9185516357422,10.99
34400,0.009697255678474903,275.3556640625,11.01
34600,4.90589624480009e-10,274.5231475830078,10.98
34800,1.263878779411698e-09,274.189030456543,10.98
35000,4.5862137199037534e-08,268.7406799316406,10.95
35200,0.06666684150695801,266.22889556884763,10.88
35400,7.472362728577764e-10,263.8238189697266,10.99
35600,0.0011730145197361708,259.69521484375,11.06
35800,0.00013783536269329488,258.018815612793,11.06
36000,0.004665411077439785,256.34015197753905,11.05
36200,0.0012839374830946326,254.46922760009767,10.96
36400,0.004183750133961439,252.2991928100586,10.96
36600,0.002329946728423238,249.92115783691406,10.96
36800,0.009004955179989338,247.78093414306642,10.86
37000,0.009064896032214165,245.3687774658203,10.94
37200,0.01044407207518816,243.02353057861328,10.97
37400,0.007225615903735161,240.8468048095703,10.94
37600,0.00905704963952303,238.70514068603515,10.95
37800,0.028989560902118683,236.4629333496094,11.01
38000,0.01119914185255766,234.1834228515625,10.99
38200,0.008259695954620838,232.02369232177733,10.96
38400,0.0009414134547114372,229.63399963378907,10.95
38600,0.007965659722685814,227.5181091308594,10.95
38800,0.023699019104242325,225.52871856689453,11.0
39000,0.021240219473838806,223.47054901123047,11.01
39200,0.0013372245011851192,221.27189178466796,10.96
39400,0.003086530137807131,219.30801696777343,10.99
39600,0.016266338527202606,217.2320785522461,10.98
39800,0.017955541610717773,215.26415557861327,11.03
40000,0.006049767602235079,213.48358917236328,10.98
40200,0.0016690907068550587,211.46709289550782,11.06
40400,0.014479435048997402,209.43917236328124,11.0
40600,0.015201613306999207,207.4167953491211,11.04
40800,0.006345832254737616,205.42123718261718,10.99
41000,0.017074333503842354,203.6095703125,10.93
41200,0.035784538835287094,201.76385192871095,10.92
41400,0.0067838202230632305,199.83004608154297,10.96
41600,0.012334641069173813,198.06773986816407,11.02
41800,0.011663894169032574,196.2047912597656,11.04
42000,0.008588530123233795,194.4382553100586,10.95
42200,0.019924942404031754,192.79590301513673,11.03
42400,0.009128048084676266,191.02269897460937,11.06
42600,0.0018308673752471805,189.31905822753907,11.04
42800,0.006375744007527828,187.44067840576173,11.07
43000,0.005148162133991718,185.9165466308594,11.01
43200,0.0016349786892533302,184.24278717041017,11.06
43400,0.005192264914512634,182.5519058227539,11.02
43600,0.006091365125030279,181.09648590087892,11.02
43800,0.011529314331710339,179.21587219238282,10.94
44000,0.0025285922456532717,177.67999877929688,10.92
44200,0.0022207770962268114,176.06965179443358,10.96
