step,train_loss,test_loss,test_acc
0,334.3128967285156,208.8497314453125,7.19
200,1.6812491416931152,8.113801002502441,14.21
400,0.49990713596343994,6.784607601165772,15.17
600,0.20997971296310425,6.307470846176147,15.48
800,0.1097540631890297,6.062993764877319,15.88
1000,0.06467490643262863,5.9209977149963375,15.87
1200,0.04386644810438156,5.823722314834595,16.07
1400,0.026608478277921677,5.753447723388672,16.2
1600,0.01739608868956566,5.702112436294556,16.39
1800,0.010174720548093319,5.664862871170044,16.41
2000,0.005210299510508776,5.636030578613282,16.52
2200,0.005059408489614725,5.613295316696167,16.56
2400,0.0033643662463873625,5.593688011169434,16.5
2600,0.0016486129024997354,5.577381658554077,16.53
2800,0.0010782217141240835,5.563647079467773,16.55
3000,0.0008607975905761123,5.552192354202271,16.57
3200,0.0006941950414329767,5.541111803054809,16.49
3400,0.0005406172131188214,5.531832027435303,16.48
3600,0.0003378452092874795,5.5189087867736815,16.51
3800,0.00016768978093750775,5.509998989105225,16.56
4000,0.0002397397911408916,5.5027049541473385,16.54
4200,0.0007081362418830395,5.45957932472229,16.51
4400,0.00021203025244176388,5.446223163604737,16.53
4600,0.00020403934468049556,5.437973833084106,16.59
4800,0.0184768196195364,5.307775449752808,16.66
5000,0.0052793207578361034,4.965245771408081,16.99
5200,0.0020818153861910105,4.951318597793579,17.1
5400,0.018781017512083054,4.87607774734497,17.14
5600,0.009203583933413029,4.711914300918579,17.28
5800,0.025933006778359413,4.6046535015106205,17.42
6000,0.014840491116046906,4.443359398841858,17.38
6200,0.01946350745856762,4.2457609415054325,17.02
6400,0.004048340488225222,4.126640152931214,17.89
6600,0.018481453880667686,4.04436149597168,17.57
6800,0.017099732533097267,3.825153613090515,17.95
7000,0.015547439455986023,3.585108256340027,18.29
7200,0.002490545390173793,3.4563503742218016,18.26
7400,0.009176748804748058,3.4113651752471923,18.45
7600,0.012818808667361736,3.2178659200668336,18.74
7800,0.007543249987065792,3.145874547958374,18.86
8000,0.00944468192756176,2.945937728881836,18.82
8200,0.01208115741610527,2.8528067827224732,18.59
8400,0.014849560335278511,2.68092794418335,19.24
8600,0.005073571112006903,2.56392297744751,19.95
8800,0.0132734514772892,2.474310350418091,19.4
9000,0.008268936537206173,2.3506818294525145,20.5
9200,0.009788496419787407,2.198075366020203,20.43
9400,0.003069567261263728,2.133647954463959,20.96
9600,0.006240350194275379,2.060667705535889,20.92
9800,0.015200755558907986,1.931526517868042,21.19
10000,0.0036196699365973473,1.812521255016327,21.45
10200,0.004948744084686041,1.7617732286453247,21.71
