step,train_loss,test_loss,test_acc
0,85692.8359375,66490.04296875,9.22
200,1761.3656005859375,1756.3625,10.87
400,448.28448486328125,508.3286376953125,11.35
600,208.7262420654297,213.32021789550782,10.63
800,110.98633575439453,109.70397033691407,10.3
1000,60.579322814941406,63.88165473937988,10.38
1200,32.04724884033203,41.645072555541994,10.42
1400,16.830724716186523,29.29496212005615,10.92
1600,14.509023666381836,21.80111722946167,11.14
1800,13.546680450439453,16.782926082611084,12.04
2000,10.569989204406738,13.34973578453064,12.1
2200,7.981740951538086,10.860612440109254,12.38
2400,7.123028755187988,8.997371578216553,12.22
2600,3.512174129486084,7.542075872421265,12.2
2800,3.3393139839172363,6.464013075828552,12.75
3000,2.1788012981414795,5.6539503812789915,14.52
3200,1.8089590072631836,5.011269569396973,13.63
3400,0.7864058017730713,4.522476720809936,13.39
3600,1.5728106498718262,4.107103753089905,13.65
3800,0.9309370517730713,3.7735138535499573,13.23
4000,0.8471664786338806,3.4884746432304383,14.06
4200,0.64334636926651,3.2485459208488465,16.8
4400,0.5204218029975891,3.0463390707969666,19.02
4600,0.5594174265861511,2.8625590801239014,16.63
4800,0.49915117025375366,2.7117283582687377,17.61
5000,0.36376461386680603,2.5861916542053223,15.15
5200,0.3212246298789978,2.4796336770057676,13.99
5400,0.38219964504241943,2.3837461352348326,12.62
5600,0.4212004840373993,2.295691418647766,19.51
5800,0.12354669719934464,2.225327217578888,20.43
6000,0.18754763901233673,2.159367895126343,15.55
6200,0.19312657415866852,2.100582277774811,20.01
6400,0.30269694328308105,2.052399015426636,15.68
6600,0.19259457290172577,2.009839951992035,14.66
6800,0.16440290212631226,1.9735916018486024,18.45
7000,0.1202767938375473,1.9392015874385833,20.37
7200,0.10496673732995987,1.911952406167984,21.66
7400,0.10287642478942871,1.8896227419376372,18.93
7600,0.09814518690109253,1.865490472316742,19.38
7800,0.10006436705589294,1.8420275032520295,23.32
8000,0.11119364947080612,1.8259508609771729,19.01
8200,0.09436844289302826,1.818414920568466,22.88
8400,0.10581094026565552,1.7935456156730651,21.58
8600,0.09190022945404053,1.7791567504405976,20.96
8800,0.1001385971903801,1.7799009084701538,19.03
9000,0.10719957202672958,1.7510921597480773,24.46
9200,0.09725000709295273,1.7363474488258361,17.13
9400,0.09496995806694031,1.7347791910171508,24.32
9600,0.09333441406488419,1.7319177746772767,20.94
9800,0.09335251897573471,1.697324848175049,22.59
10000,0.10007971525192261,1.6955241680145263,22.22
10200,0.09585031867027283,1.6664324879646302,14.95
10400,0.10718988627195358,1.6359236419200898,29.87
10600,0.08818459510803223,1.6251823663711549,23.52
10800,0.08560562133789062,1.582613331079483,20.76
11000,0.08948639035224915,1.5394407749176025,27.87
11200,0.09019792824983597,1.523847270011902,28.77
11400,0.0923541709780693,1.5167075872421265,28.32
11600,0.08933646976947784,1.4782137274742126,31.69
11800,0.08177950233221054,1.4703346252441407,35.36
12000,0.09437160193920135,1.4689639985561371,30.93
12200,0.08826416730880737,1.4504791617393493,28.49
12400,0.0912746787071228,1.4106777906417847,37.74
12600,0.09419064223766327,1.3921890556812286,34.97
12800,0.08399950712919235,1.3891563296318055,34.17
13000,0.08062335848808289,1.3797663748264313,37.56
13200,0.11565260589122772,1.3592653930187226,46.23
13400,0.07674732059240341,1.3330025732517243,45.82
13600,0.07932136207818985,1.3316458463668823,39.34
13800,0.06796524673700333,1.3114928126335144,46.65
14000,0.0812634527683258,1.3022537887096406,44.99
14200,0.07364106923341751,1.2918628931045533,50.39
14400,0.08112039417028427,1.293371969461441,43.56
14600,0.0745745450258255,1.2776184022426604,53.83
14800,0.0751073956489563,1.2756465554237366,50.67
15000,0.06754282116889954,1.270829623937607,52.32
15200,0.0687505230307579,1.2599036276340485,59.37
15400,0.0788787305355072,1.2687735497951507,45.27
15600,0.07887788116931915,1.2577297151088715,53.55
15800,0.06437361240386963,1.2598590075969696,50.58
16000,0.07367999851703644,1.2528790712356568,54.03
16200,0.0727706179022789,1.2517778396606445,53.8
16400,0.06034909188747406,1.2449658393859864,62.7
16600,0.06195003539323807,1.2462279200553894,65.9
16800,0.06079976633191109,1.2463397800922393,60.81
17000,0.0645538792014122,1.2400664031505584,58.92
17200,0.0642629861831665,1.2328443109989167,68.92
17400,0.058496203273534775,1.2201310098171234,65.31
17600,0.05296345800161362,1.2230893075466156,59.28
17800,0.061468835920095444,1.2113484263420105,68.21
18000,0.0559377521276474,1.197444534301758,69.87
18200,0.05894526094198227,1.2064045906066894,66.08
18400,0.05610785633325577,1.1999350130558013,68.7
18600,0.04735246300697327,1.1882819294929505,71.49
18800,0.05002185329794884,1.181170529127121,73.33
19000,0.05902061238884926,1.176329356431961,70.49
19200,0.049881044775247574,1.17176051735878,69.49
19400,0.05204378813505173,1.1647571682929994,71.37
19600,0.048541367053985596,1.164728581905365,72.87
19800,0.055714383721351624,1.1502570807933807,73.69
20000,0.054688747972249985,1.1532191216945649,74.92
20200,0.051738955080509186,1.151318871974945,72.64
20400,0.04728339612483978,1.1475002348423005,71.62
20600,0.0485168993473053,1.143713927268982,70.66
20800,0.044432107359170914,1.1401351630687713,73.67
21000,0.03847683221101761,1.1326344728469848,72.83
21200,0.04781825840473175,1.133034312725067,71.57
21400,0.043090593069791794,1.129481965303421,72.28
21600,0.04608774557709694,1.127182000875473,74.5
21800,0.04402134194970131,1.129452747106552,75.17
