step,train_loss,test_loss,test_acc
0,509.1082763671875,298.1336700439453,7.52
200,3.071439027786255,11.254070949554443,14.42
400,0.949618935585022,9.037818050384521,15.21
600,0.4623221158981323,8.239570760726929,15.39
800,0.24065852165222168,7.835566282272339,15.7
1000,0.1337992548942566,7.599895811080932,15.89
1200,0.08234614133834839,7.452293777465821,16.07
1400,0.05225508287549019,7.347607946395874,16.06
1600,0.03209244832396507,7.273848676681519,16.29
1800,0.020980946719646454,7.2199219226837155,16.36
2000,0.016494881361722946,7.179785108566284,16.54
2200,0.009907105006277561,7.151994514465332,16.55
2400,0.005605113692581654,7.125347995758057,16.55
2600,0.003091682679951191,7.106218099594116,16.6
2800,0.003123981412500143,7.087125015258789,16.63
3000,0.002681206911802292,7.0718663215637205,16.66
3200,0.0008995341486297548,7.057733345031738,16.7
3400,0.0006153308786451817,7.045562314987182,16.68
3600,0.0004805331991519779,7.033036518096924,16.72
3800,0.0005707602831535041,7.022779560089111,16.75
4000,0.0018623312935233116,6.998049259185791,16.71
4200,0.0004269400960765779,6.990910339355469,16.81
4400,0.0001328014477621764,6.981804752349854,16.81
4600,0.0003640777140390128,6.970685720443726,16.79
4800,0.01002820860594511,6.878312110900879,16.88
5000,0.014619879424571991,6.710073375701905,16.92
5200,0.00829298049211502,6.656051969528198,16.89
5400,0.032318320125341415,6.39857234954834,17.1
5600,0.03062671795487404,6.218277454376221,17.3
5800,0.02807503007352352,6.0078596591949465,17.56
6000,0.009950707666575909,5.813166666030884,17.81
6200,0.021412702277302742,5.704572343826294,17.33
6400,0.01825784705579281,5.340035486221313,17.41
6600,0.010061893612146378,5.223464775085449,17.91
6800,0.03250989690423012,5.0544517040252686,18.23
7000,0.009251885116100311,4.842459964752197,18.35
7200,0.02504804916679859,4.704700660705567,18.82
7400,0.020789677277207375,4.388787937164307,18.64
7600,0.01129499264061451,4.211019659042359,19.05
7800,0.015713701024651527,4.087941122055054,18.73
8000,0.03859490156173706,3.784377646446228,19.15
8200,0.006602980196475983,3.631353998184204,19.68
8400,0.026936227455735207,3.4628876447677612,19.28
8600,0.010003643110394478,3.3051591873168946,20.15
8800,0.016756057739257812,3.1267383813858034,19.92
9000,0.011716540902853012,2.954588437080383,20.09
