step,train_loss,test_loss,test_acc
0,41533.67578125,30874.542578125,11.7
200,504.88665771484375,504.4833923339844,10.03
400,162.40127563476562,171.21560668945312,10.56
600,81.0951919555664,87.1018280029297,10.58
800,52.197959899902344,52.848290634155276,10.35
1000,35.63274002075195,35.213957977294925,10.26
1200,22.23296356201172,24.94777889251709,10.57
1400,17.68487548828125,18.459738159179686,10.8
1600,12.011725425720215,14.079461002349854,10.92
1800,10.18733024597168,10.987780380249024,10.99
2000,8.174695014953613,8.72939691543579,11.06
2200,7.1655354499816895,7.004488801956176,11.73
2400,5.243844985961914,5.711732721328735,11.98
2600,3.8124125003814697,4.6913673162460325,12.31
2800,3.6977667808532715,3.9002804279327394,12.64
3000,2.7695999145507812,3.253050518035889,13.22
3200,2.4743242263793945,2.7344418287277223,13.4
3400,1.8099302053451538,2.3086549639701843,14.24
3600,1.4659440517425537,1.9634174823760986,14.68
3800,1.4403660297393799,1.660174596309662,15.71
4000,1.31145441532135,1.423174262046814,16.43
4200,1.0468474626541138,1.2130937099456787,16.82
4400,0.6901533603668213,1.0486321806907655,17.99
4600,0.8773307800292969,0.9065917313098908,19.1
4800,0.593751847743988,0.7908553540706634,19.91
5000,0.44250425696372986,0.7007076650857925,21.02
5200,0.4032706022262573,0.6213031470775604,22.73
5400,0.36377084255218506,0.5595340460538865,24.55
5600,0.2864207923412323,0.5023611634969711,25.77
5800,0.2552221119403839,0.4581572383642197,27.76
6000,0.2768162190914154,0.4196778655052185,30.14
6200,0.16391633450984955,0.3822404608130455,33.79
6400,0.1861211210489273,0.3551970362663269,34.51
6600,0.1466478705406189,0.3342191353440285,32.67
6800,0.15209323167800903,0.3090472877025604,39.37
7000,0.14395001530647278,0.2951626405119896,39.85
7200,0.14327362179756165,0.2762209802865982,43.41
7400,0.11208705604076385,0.26617022007703783,44.34
7600,0.10361536592245102,0.2552079647779465,46.12
7800,0.097413070499897,0.24538122415542601,44.12
8000,0.08205966651439667,0.23390882164239885,49.85
8200,0.09236045926809311,0.22590399235486985,52.5
8400,0.08568116277456284,0.21896979063749314,54.52
8600,0.08452583849430084,0.21231330931186676,55.15
8800,0.08236619830131531,0.20435460060834884,54.44
9000,0.07767727971076965,0.20241447612643243,56.17
9200,0.07125881314277649,0.1994446486234665,53.06
