step,train_loss,test_loss,test_acc
0,0.6771693229675293,0.2542163833975792,12.37
200,0.0032497395295649767,0.03724907245486975,87.04
400,0.0005396981723606586,0.037294753827154636,86.74
600,0.00012310461897868663,0.0375521095469594,86.74
800,3.504551204969175e-05,0.037737273052334784,86.64
1000,1.1793230441980995e-05,0.03781931828707456,86.55
1200,6.467104867624585e-06,0.037885128520429134,86.45
1400,3.1538206712866668e-06,0.037924312986433506,86.46
1600,6.389609097823268e-06,0.037945499643683434,86.42
1800,0.00016768008936196566,0.03762501887977123,86.44
2000,2.9691871532122605e-05,0.03715648669749498,86.76
2200,8.409341535298154e-05,0.0371289337053895,86.58
2400,3.892340828315355e-05,0.03585509583353996,86.96
2600,1.0831656254595146e-05,0.03572793323546648,86.99
2800,7.931933942018077e-05,0.03575036376714706,86.94
3000,0.0002203548647230491,0.034452022053301334,87.16
3200,2.906035842897836e-05,0.034061771258711813,87.3
3400,6.987107917666435e-05,0.033930270746350286,87.44
3600,0.00011976461973972619,0.03332941234111786,87.65
3800,0.00015817554958630353,0.03244390357285738,87.55
4000,4.595269638230093e-05,0.032155988924205306,87.76
4200,8.503071876475587e-05,0.03191572334617376,87.74
4400,0.00012091937242075801,0.031132552400231363,87.73
4600,4.0808256017044187e-05,0.030762951262295245,87.95
4800,8.635497215436772e-05,0.03050988055765629,88.08
5000,0.00019476775196380913,0.029901080206036566,88.11
5200,6.834139639977366e-05,0.02962753362953663,88.07
5400,8.447897562291473e-05,0.02939412835985422,88.13
5600,0.0001275605318369344,0.029101075418293477,88.16
5800,0.0001041587456711568,0.028416628390550612,88.36
6000,2.4183598725358024e-05,0.02797615174204111,88.49
6200,2.5421684767934494e-05,0.02791216466575861,88.45
6400,0.0002602188615128398,0.027584587596356867,88.45
6600,0.00012256189074832946,0.026597215980291366,88.73
6800,2.0376321117510088e-05,0.02646836768835783,88.8
7000,3.588667095755227e-05,0.026401758939027787,88.85
7200,0.00021150935208424926,0.026071331836283206,88.89
7400,6.261909584281966e-05,0.025661444291472435,88.89
7600,7.077025657054037e-05,0.02551837507635355,89.09
7800,4.932057345286012e-05,0.02524660024791956,89.09
8000,0.0001300766452914104,0.025113334134221076,88.88
8200,6.55775802442804e-05,0.024685498513281345,89.17
8400,4.812605766346678e-05,0.024604275450110437,89.22
8600,0.00015112430264707655,0.02432159725576639,89.32
8800,2.203121221100446e-05,0.02395548429340124,89.38
9000,4.3710962927434593e-05,0.02395019941031933,89.35
9200,0.00013588806905318052,0.02368534430861473,89.38
9400,3.271767127444036e-05,0.023485307674854995,89.46
9600,4.691385765909217e-05,0.023366205766797064,89.56
9800,8.805406832834706e-05,0.023241410870105027,89.57
10000,2.0117491658311337e-05,0.02300807973369956,89.52
10200,6.525768549181521e-05,0.022985860146582125,89.55
10400,8.704386709723622e-05,0.02295050276443362,89.5
10600,4.01296274503693e-05,0.02261017682030797,89.6
10800,3.806790482485667e-05,0.02257415195927024,89.52
11000,3.553436908987351e-05,0.022453879192471504,89.58
11200,8.766289829509333e-05,0.022377408295869827,89.52
11400,4.661434286390431e-05,0.022235179599374533,89.56
11600,2.3818638510419987e-05,0.022127604857087136,89.58
11800,5.703771239495836e-05,0.022136418707668783,89.54
12000,6.585480878129601e-05,0.021946508903056383,89.55
12200,1.51281301441486e-05,0.021733586303889753,89.63
12400,1.3111211046634708e-05,0.021715024951845407,89.65
12600,5.996297477395274e-05,0.02170168375596404,89.53
12800,3.846614345093258e-05,0.02159548308700323,89.71
13000,6.55500334687531e-05,0.021548098139464855,89.73
13200,6.914038385730237e-05,0.021373124420642854,89.7
13400,2.221086651843507e-05,0.02132852654904127,89.81
13600,3.678369102999568e-05,0.02127671679481864,89.82
13800,9.548524758429267e-06,0.02121048718690872,89.76
14000,9.673892782302573e-05,0.02119327075779438,89.86
14200,6.311778997769579e-05,0.020873191021382808,89.77
14400,1.3129560102242976e-05,0.02088854620233178,89.76
14600,3.722754991031252e-05,0.020942674204707145,89.69
14800,3.112061313004233e-05,0.020768856909126044,89.82
15000,2.037348531302996e-05,0.02072920585051179,89.76
15200,9.124985808739439e-05,0.020761440880596636,89.88
15400,3.3822740078903735e-05,0.020656614936888217,89.74
15600,9.718217370391358e-06,0.020567703153938056,89.85
15800,2.418950680294074e-05,0.020593816228210927,89.93
16000,5.969929407001473e-05,0.020476171001791953,89.86
16200,5.430751116364263e-05,0.02036268999800086,89.86
16400,2.497407331247814e-05,0.020337169244885444,90.07
16600,2.468523416609969e-05,0.020351912081241607,89.91
16800,4.621134212356992e-05,0.02029687985777855,89.97
17000,2.6078958399011753e-05,0.02026682272553444,90.0
17200,3.264400947955437e-05,0.02033732896670699,89.96
17400,1.2492740097513888e-05,0.020207166951149703,90.05
17600,1.4842411474091932e-05,0.02019364284351468,90.08
17800,4.619922037818469e-05,0.02010626709088683,90.07
18000,2.3507262085331604e-05,0.020067574083805086,90.08
18200,2.1990003006067127e-05,0.019998196605592967,90.1
18400,4.527955024968833e-05,0.019941653404384852,90.04
18600,2.668982961040456e-05,0.01988859483972192,90.1
18800,6.567225227627205e-06,0.019838494155555962,90.17
19000,1.2753077498928178e-05,0.01988797662779689,90.18
19200,2.8765951356035657e-05,0.01983594773337245,90.2
19400,7.519724022131413e-05,0.019809015933424233,90.26
19600,5.1569895731518045e-06,0.019681019708514214,90.15
19800,6.478086561401142e-06,0.01966184815391898,90.13
20000,3.343598291394301e-05,0.0197777409106493,90.13
20200,2.2023907149559818e-05,0.019576501566916704,90.2
20400,8.273446837847587e-06,0.019553725514560936,90.14
20600,1.9743694792850874e-05,0.019602118339389563,90.08
20800,1.9499790141708218e-05,0.01959202429279685,90.09
21000,1.7973859939957038e-05,0.019499131385236977,90.27
