step,train_loss,test_loss,test_acc
0,97070.0234375,79566.49921875,12.43
200,2054.20849609375,2644.6499267578124,9.89
400,957.76806640625,1291.7779907226563,9.5
600,491.2249755859375,795.7363098144531,9.46
800,300.1885681152344,556.1083160400391,9.46
1000,194.99220275878906,418.7771789550781,9.6
1200,148.39169311523438,333.8495040893555,9.95
1400,119.9452896118164,275.6725082397461,10.16
1600,85.49021911621094,234.63635864257813,10.62
1800,63.136783599853516,204.1560546875,10.6
2000,52.01025390625,180.27968063354493,10.45
2200,42.826595306396484,161.80067138671876,10.44
2400,34.95645523071289,146.7035659790039,10.51
2600,31.342021942138672,134.48280181884766,10.19
2800,25.190954208374023,124.49377670288087,10.52
3000,22.843584060668945,116.40735244750977,10.4
3200,18.885316848754883,109.40569648742675,10.54
3400,15.939948081970215,102.91059341430665,10.44
3600,12.583545684814453,97.42596778869628,10.39
3800,11.909690856933594,92.62821731567382,10.55
4000,9.848941802978516,88.36346969604492,10.35
4200,8.91030502319336,84.65800170898437,10.48
4400,7.245565414428711,81.54860191345215,10.41
4600,6.130594253540039,78.73698196411132,10.45
4800,4.952939510345459,76.23408432006836,10.26
5000,4.266949653625488,73.9943862915039,10.35
5200,3.8079464435577393,72.00315208435059,10.81
5400,3.0099732875823975,70.24661178588867,10.41
5600,2.830613851547241,68.66428337097167,10.48
5800,2.577986240386963,67.27768535614014,10.76
6000,2.1233253479003906,65.939328956604,11.0
6200,1.7401878833770752,64.96348247528076,11.09
6400,1.9487378597259521,63.686031341552734,11.2
6600,1.3148757219314575,62.71177501678467,11.24
6800,1.3831356763839722,61.532230377197266,12.11
7000,1.6554481983184814,59.45647563934326,11.85
7200,1.139547348022461,58.10794849395752,11.79
7400,0.9887264966964722,56.89080867767334,12.01
7600,0.9471467137336731,56.030966186523436,11.48
7800,0.725181519985199,55.56269912719726,11.94
8000,1.1007080078125,54.351867866516116,11.74
8200,0.7460542321205139,52.85374851226807,11.78
8400,1.3070803880691528,50.29286880493164,11.47
8600,0.7493959069252014,49.26849632263183,12.97
8800,0.579054057598114,48.65056209564209,13.8
9000,0.7838342785835266,47.646216201782224,13.95
9200,0.502098798751831,46.49556312561035,14.74
9400,1.0855916738510132,44.627621269226076,15.17
9600,1.7213748693466187,42.73021755218506,17.46
9800,0.3817138671875,41.81256551742554,17.97
10000,1.2042992115020752,41.21800537109375,15.71
10200,0.4496631622314453,37.86075258255005,19.75
10400,0.5184369087219238,37.328315353393556,18.98
10600,0.5653040409088135,36.57394886016846,20.43
